"SongNumber","Songtitle","","","AlbumName","","","ArtistLocation","","ArtistName","","","","Danceability","Duration","KeySignature","KeySignatureConfidence","Popularity","Tempo","TimeSignature","TimeSignatureConfidence","Year","ArtistFamiliarity","ArtistPopularity","Genre 1","Genre 2","Genre 3","Genre 4","Genre 5","Genre 6","Genre 7","Genre 8","Genre 9","Genre 10","Genre 11","Genre 12","Genre 13","Genre 14","Genre 15","Genre 16","Genre 17","Genre 18","Genre 19","Genre 20","Genre 21","Genre 22"
"3565","b'Si Tu Me Dices Ven'","Si Tu Me Dices Ven'","Si Tu Me Dices Ven","b'Diez Boleros Y Una Cancion De Amor'","Diez Boleros Y Una Cancion De Amor'","Diez Boleros Y Una Cancion De Amor","","","Isabel Pantoja'","Isabel Pantoja'","Isabel Pantoja'","Isabel Pantoja","0","220.94322","7","0.337","0.239629098","73.81100000000001","5","0.641","0","0.496152636","0.363506516","","","","","","","","","","","","","","","","","","","","","",""
"3566","b'Widescreen'","Widescreen'","Widescreen","b'Underwater Dancehall'","Underwater Dancehall'","Underwater Dancehall","Illinois'","Illinois","Pinch'","Pinch'","Pinch'","Pinch","0","288.39138","6","0.624","0.544750913","70.047","4","1","0","0.583049613","0.364006714","production music","","","","","","","","","","","","","","","","","","","","",""
"3567","b'Medley: Father_ I Adore You/More Precious Than Silver'","Medley: Father_ I Adore You/More Precious Than Silver'","Medley: Father_ I Adore You/More Precious Than Silver","b'Earth To Heaven'","Earth To Heaven'","Earth To Heaven","Eugene OR'","Eugene OR","Cadet'","Cadet'","Cadet'","Cadet","0","267.07546","7","1","0","80.721","4","0.534","0","0.494131652","0.363566183","","","","","","","","","","","","","","","","","","","","","",""
"3568","b'The Devil Made Me Do Dat (LP Version)'","The Devil Made Me Do Dat (LP Version)'","The Devil Made Me Do Dat (LP Version)","bMellow Dreamin'""""","Mellow Dreamin'""""","Mellow Dreamin'","Chicago IL'","Chicago IL","Young-Holt Unlimited'","Young-Holt Unlimited'","Young-Holt Unlimited'","Young-Holt Unlimited","0","176.63955","2","0.77","nan","166.796","7","0","1970","0.502245023","0.215958703","","","","","","","","","","","","","","","","","","","","","",""
"3569","b'La Bamba'","La Bamba'","La Bamba","b'Wimoweh!!! - The Best Of The Tokens'","Wimoweh!!! - The Best Of The Tokens'","Wimoweh!!! - The Best Of The Tokens","Brooklyn NY'","Brooklyn NY","The Tokens'","The Tokens'","The Tokens'","The Tokens","0","154.06975","0","0.523","nan","83.809","4","1","1994","0.604282094","0.407539019","","","","","","","","","","","","","","","","","","","","","",""
"3570","b'Dyna'","Dyna'","Dyna","b'Djessy'","Djessy'","Djessy","Inongo Zaire'","Inongo Zaire","Kanda Bongo Man'","Kanda Bongo Man'","Kanda Bongo Man'","Kanda Bongo Man","0","500.6624","8","0.301","nan","131.444","4","0.897","0","0.485827967","0.32242454","","","","","","","","","","","","","","","","","","","","","",""
"3571","b'I Am'","I Am'","I Am","b'Mask Industries'","Mask Industries'","Mask Industries","Vienna'","Vienna","Devanic'","Devanic'","Devanic'","Devanic","0","336.06485","4","0.034","nan","87.044","4","0.437","2006","0.489712436","0.25109374","melodic death metal ","austria ","metal ","death metal ","melodeath ","danzer ","melodic ","vienna ","in flames","","","","","","","","","","","","",""
"3572","b'Monsoon'","Monsoon'","Monsoon","b'Sleep Through The Static: Remixed'","Sleep Through The Static: Remixed'","Sleep Through The Static: Remixed","Galveston TX'","Galveston TX","Jack Johnson'","Jack Johnson'","Jack Johnson'","Jack Johnson","0","264.82893","11","0.015","0.73761557","142.449","4","0.435","2008","0.832011769","0.677482479","folk ","soft rock ","acoustic ","rock ","american ","surf ","pop and chart","","","","","","","","","","","","","","",""
"3573","b'Joe Avery's Piece""","Joe Avery's Piece""","Joe Avery's Piece","b'Eleven'","Eleven'","Eleven","New Orleans LA'","New Orleans LA","Harry Connick_ Jr'","Harry Connick_ Jr'","Harry Connick_ Jr'","Harry Connick_ Jr","0","192.07791","0","0.22","0","181.469","4","0.174","1979","0.691133729","0.531050193","pop rock ","swing ","rock ","jazz-funk ","jazz ","american ","pop ","easy listening soundtracks and musicals","","","","","","","","","","","","","",""
"3574","b'Deep Inside'","Deep Inside'","Deep Inside","b'Converge EP'","Converge EP'","Converge EP","Boston Brooklyn USA'","Boston Brooklyn USA","Converge'","Converge'","Converge'","Converge","0","407.03955","5","0.294","0.286605955","152.775","4","1","0","0.810506205","0.531157063","rock and indie","","","","","","","","","","","","","","","","","","","","",""
"3575","b'Thorns of Charon (Pt. 2) - Emerge from Hades'","Thorns of Charon (Pt. 2) - Emerge from Hades'","Thorns of Charon (Pt. 2) - Emerge from Hades","b'Doomed Dark Years'","Doomed Dark Years'","Doomed Dark Years","Athens Greece'","Athens Greece","Astarte'","Astarte'","Astarte'","Astarte","0","419.97016","9","0.395","0.345802234","156.15","4","0.713","1998","0.537088297","0.352919184","black metal","","","","","","","","","","","","","","","","","","","","",""
"3576","b'Shadrach (2009 Digital Remaster)'","Shadrach (2009 Digital Remaster)'","Shadrach (2009 Digital Remaster)","bPaul's Boutique (20th Anniversary Remastered Edition)""""","Paul's Boutique (20th Anniversary Remastered Edition)""""","Paul's Boutique (20th Anniversary Remastered Edition)","New York NY'","New York NY","Beastie Boys'","Beastie Boys'","Beastie Boys'","Beastie Boys","0","248.13669","2","0.016","0.33759306","100.649","4","0.891","0","0.853124523","0.534503926","hip hop ","usa ","rock ","american ","rap rock ","rap ","punk ","americain ","rock and indie ","us ","hiphop ","hip-hop","","","","","","","","","",""
"3577","b'El Bipper'","El Bipper'","El Bipper","b'23 Aniversario'","23 Aniversario'","23 Aniversario","","","Los Traileros Del Norte'","Los Traileros Del Norte'","Los Traileros Del Norte'","Los Traileros Del Norte","0","201.03791","0","0.07099999999999999","nan","111.944","4","0","0","0.557923664","0.301094091","","","","","","","","","","","","","","","","","","","","","",""
"3578","b'To Pirame'","To Pirame'","To Pirame","b'To Pirame'","To Pirame'","To Pirame","","","Imiskoubria'","Imiskoubria'","Imiskoubria'","Imiskoubria","0","211.64363","2","0.434","nan","180.077","4","0.703","0","0.37128168","0.302716272","","","","","","","","","","","","","","","","","","","","","",""
"3579","b'I Saw Destruction'","I Saw Destruction'","I Saw Destruction","b'Oozevoodoo'","Oozevoodoo'","Oozevoodoo","","","The Scare'","The Scare'","The Scare'","The Scare","0","209.71057","7","0.403","nan","110.161","4","0.292","2009","0.582061744","0.404910014","","","","","","","","","","","","","","","","","","","","","",""
"3580","b'How Insensitive'","How Insensitive'","How Insensitive","b'Byrd & Brazil'","Byrd & Brazil'","Byrd & Brazil","Chuckatuck VA'","Chuckatuck VA","Charlie Byrd'","Charlie Byrd'","Charlie Byrd'","Charlie Byrd","0","361.56036","2","0.358","nan","121.887","4","0.162","2004","0.527339183","0.310556083","swing ","bossa nova ","latin jazz ","brazilian ","jazz ","american ","brazilian jazz","","","","","","","","","","","","","","",""
"3581","b'A Love That Keeps On Giving (Silent Witness Album Version)'","A Love That Keeps On Giving (Silent Witness Album Version)'","A Love That Keeps On Giving (Silent Witness Album Version)","b'Silent Witness'","Silent Witness'","Silent Witness","","","Jeff And Sheri Easter'","Jeff And Sheri Easter'","Jeff And Sheri Easter'","Jeff And Sheri Easter","0","191.99955","0","0.9350000000000001","nan","101.943","3","0.976","0","0.535292736","0.385470551","","","","","","","","","","","","","","","","","","","","","",""
"3582","b'Hear Me Now'","Hear Me Now'","Hear Me Now","b'Best Of'","Best Of'","Best Of","Glasgow Scotland'","Glasgow Scotland","Wet Wet Wet'","Wet Wet Wet'","Wet Wet Wet'","Wet Wet Wet","0","242.65098","2","0.928","0.561428518","95.465","4","0.43","2004","0.642280769","0.411195688","uk ","scottish ","british ","classic pop and rock","","","","","","","","","","","","","","","","","",""
"3583","b'Großraumbrand'","Großraumbrand'","Großraumbrand","b'Zeitreise'","Zeitreise'","Zeitreise","","","ZENFU'","ZENFU'","ZENFU'","ZENFU","0","226.82077","9","0.354","nan","124.887","4","0.868","0","0.389311807","0","","","","","","","","","","","","","","","","","","","","","",""
"3584","b'Yesterdays'","Yesterdays'","Yesterdays","b'Jazz Impressions'","Jazz Impressions'","Jazz Impressions","San Francisco CA'","San Francisco CA","Vince Guaraldi Trio'","Vince Guaraldi Trio'","Vince Guaraldi Trio'","Vince Guaraldi Trio","0","242.9122","2","0.549","0.265861049","92.40000000000001","3","0.253","1964","0.57810363","0.414892612","","","","","","","","","","","","","","","","","","","","","",""
"3585","b'EZ Cuz You're Beautiful (Album Version)""","EZ Cuz You're Beautiful (Album Version)""","EZ Cuz You're Beautiful (Album Version)","b'Happy Love Sick'","Happy Love Sick'","Happy Love Sick","Los Angeles California'","Los Angeles California","Shifty'","Shifty'","Shifty'","Shifty","0","192.91383","3","0","0.594483379","163.884","4","0.337","2004","0.602264047","0.44057753","","","","","","","","","","","","","","","","","","","","","",""
"3586","b'Woodcarver'","Woodcarver'","Woodcarver","bWalkin' In The Sun""""","Walkin' In The Sun""""","Walkin' In The Sun","Delight AR'","Delight AR","Glen Campbell'","Glen Campbell'","Glen Campbell'","Glen Campbell","0","202.70975","1","1","nan","152.082","3","0.697","0","0.67159627","0.481024239","classic pop and rock","","","","","","","","","","","","","","","","","","","","",""
"3587","b'Manila'","Manila'","Manila","b'Singing Bamboos'","Singing Bamboos'","Singing Bamboos","New York NY'","New York NY","Martin Denny'","Martin Denny'","Martin Denny'","Martin Denny","0","144.71791","3","0.328","nan","125.052","1","0","1996","0.573719855","0.377382917","american","","","","","","","","","","","","","","","","","","","","",""
"3588","b'Techno Cumbia'","Techno Cumbia'","Techno Cumbia","b'Unforgettable'","Unforgettable'","Unforgettable","Texas'","Texas","Selena'","Selena'","Selena'","Selena","0","225.17506","11","0.005","0.533370878","90.971","4","0.207","0","0.748320703","0.545865917","","","","","","","","","","","","","","","","","","","","","",""
"3589","b'Put Your Hand In The Hand'","Put Your Hand In The Hand'","Put Your Hand In The Hand","b'Up Above My Head'","Up Above My Head'","Up Above My Head","Detroit MI'","Detroit MI","Rance Allen Group'","Rance Allen Group'","Rance Allen Group'","Rance Allen Group","0","252.36853","2","0.799","0","163.381","4","0.134","0","0.488008882","0.31401179","","","","","","","","","","","","","","","","","","","","","",""
"3590","b'Decide'","Decide'","Decide","b'Live And Loud'","Live And Loud'","Live And Loud","England'","England","Chelsea'","Chelsea'","Chelsea'","Chelsea","0","301.71383","11","0.607","nan","86.727","4","0.667","1979","0.555730918","0.352868134","uk ","punk ","london ","england ","rock ","punk rock ","british ","english","","","","","","","","","","","","","",""
"3591","b'Temblando'","Temblando'","Temblando","b'Siempre en mi mente'","Siempre en mi mente'","Siempre en mi mente","Vitoria Spain'","Vitoria Spain","Alex Ubago'","Alex Ubago'","Alex Ubago'","Alex Ubago","0","201.09016","9","0.671","0.408110884","96.7","7","0.8100000000000001","2003","0.581475219","0.298377039","","","","","","","","","","","","","","","","","","","","","",""
"3592","b'Sitting In A Dim Cafe'","Sitting In A Dim Cafe'","Sitting In A Dim Cafe","b'The Road That I Walk'","The Road That I Walk'","The Road That I Walk","Friars Point MS'","Friars Point MS","Conway Twitty'","Conway Twitty'","Conway Twitty'","Conway Twitty","0","157.12608","9","0.426","0.229144104","89.70999999999999","1","0.8110000000000001","0","0.663231985","0.493711077","","","","","","","","","","","","","","","","","","","","","",""
"3593","b'Heartburn'","Heartburn'","Heartburn","b'Unplugged'","Unplugged'","Unplugged","Harlem New York'","Harlem New York","Alicia Keys'","Alicia Keys'","Alicia Keys'","Alicia Keys","0","183.43138","1","0.477","0.684472942","105.775","4","0.986","2003","0.933916106","0.778673579","rnb ","neo soul ","soul ","hip hop rnb and dance hall ","united states ","singer ","american ","pianist","","","","","","","","","","","","","",""
"3594","b'I Want You Back'","I Want You Back'","I Want You Back","b'Live! Beg_ Borrow & Steal: October 31_ 1981 Whisky A Go Go'","Live! Beg_ Borrow & Steal: October 31_ 1981 Whisky A Go Go'","Live! Beg_ Borrow & Steal: October 31_ 1981 Whisky A Go Go","","","The Plimsouls'","The Plimsouls'","The Plimsouls'","The Plimsouls","0","147.9571","4","0.342","0.5080675059999999","123.452","4","1","1981","0.573243195","0.382961658","","","","","","","","","","","","","","","","","","","","","",""
"3595","b'LDN (Warbox Original Cut Dub)'","LDN (Warbox Original Cut Dub)'","LDN (Warbox Original Cut Dub)","b'LDN'","LDN'","LDN","LDN'","LDN","Lily Allen'","Lily Allen'","Lily Allen'","Lily Allen","0","234.1873","5","0.041","nan","99.982","4","0.926","2009","0.916058238","0.535408379","uk ","british ","pop and chart ","united kingdom ","electropop ","britannique ","pop ","english","","","","","","","","","","","","","",""
"3596","b'Better Believe It Remix (feat. Bun B_ Trae_ Yo Gotti & Foxx)'","Better Believe It Remix (feat. Bun B_ Trae_ Yo Gotti & Foxx)'","Better Believe It Remix (feat. Bun B_ Trae_ Yo Gotti & Foxx)","b'Thug Passion'","Thug Passion'","Thug Passion","","","Lil Boosie feat. Bun B_ Trae_ Yo Gotti & Foxx'","Lil Boosie feat. Bun B_ Trae_ Yo Gotti & Foxx'","Lil Boosie feat. Bun B_ Trae_ Yo Gotti & Foxx'","Lil Boosie feat. Bun B_ Trae_ Yo Gotti & Foxx","0","318.79791","9","0.007","0.253834736","125.827","7","0.313","2009","0.872325597","0.535891043","","","","","","","","","","","","","","","","","","","","","",""
"3597","b'Interlude (Album Version)'","Interlude (Album Version)'","Interlude (Album Version)","b'Three Cheers For Sweet Revenge'","Three Cheers For Sweet Revenge'","Three Cheers For Sweet Revenge","New Jersey'","New Jersey","My Chemical Romance'","My Chemical Romance'","My Chemical Romance'","My Chemical Romance","0","57.18159","6","0","0.833658152","132.474","3","1","2004","0.864867842","0.766076164","pop and chart","","","","","","","","","","","","","","","","","","","","",""
"3598","b'Desperate Man Blues'","Desperate Man Blues'","Desperate Man Blues","b'Continued Story / Hi_ How Are You?'","Continued Story / Hi_ How Are You?'","Continued Story / Hi_ How Are You?","Sacramento CA'","Sacramento CA","Daniel Johnston'","Daniel Johnston'","Daniel Johnston'","Daniel Johnston","0","219.76771","9","0.678","0.685274902","92.938","1","0.23","1983","0.713322147","0.473613189","dance and electronica","","","","","","","","","","","","","","","","","","","","",""
"3599","b'Open Up Your Mind (Guido Osorio Club Mix)'","Open Up Your Mind (Guido Osorio Club Mix)'","Open Up Your Mind (Guido Osorio Club Mix)","b'Open Up Your Mind'","Open Up Your Mind'","Open Up Your Mind","","","Eyes Cream'","Eyes Cream'","Eyes Cream'","Eyes Cream","0","492.30322","0","0.769","0","129.994","4","0.54","2002","0.377906056","0.226754095","","","","","","","","","","","","","","","","","","","","","",""
"3600","b'Ready For The Floor (Radio Edit)'","Ready For The Floor (Radio Edit)'","Ready For The Floor (Radio Edit)","b'101 Running Songs'","101 Running Songs'","101 Running Songs","London'","London","Hot Chip'","Hot Chip'","Hot Chip'","Hot Chip","0","202.10893","11","0.472","nan","128.988","4","0.214","2008","0.799910879","0.535763158","uk ","british ","english ","dance and electronica","","","","","","","","","","","","","","","","","",""
"3601","b'Held Der Tastatur'","Held Der Tastatur'","Held Der Tastatur","b'Wahre Lugen'","Wahre Lugen'","Wahre Lugen","","","Melanie And The Secret Army'","Melanie And The Secret Army'","Melanie And The Secret Army'","Melanie And The Secret Army","0","255.58159","7","0.362","0","144.319","4","0.386","0","nan","0","","","","","","","","","","","","","","","","","","","","","",""
"3602","b'The Nightmare Begins'","The Nightmare Begins'","The Nightmare Begins","b'Tales From The Undead'","Tales From The Undead'","Tales From The Undead","","","ZombieSuckers'","ZombieSuckers'","ZombieSuckers'","ZombieSuckers","0","62.95465","1","0","nan","42.58","4","0","2010","0.509793846","0.400237198","","","","","","","","","","","","","","","","","","","","","",""
"3603","b'Satanic Majesty'","Satanic Majesty'","Satanic Majesty","b'Designed To Dislike'","Designed To Dislike'","Designed To Dislike","Oakland CA'","Oakland CA","PitchBlack'","PitchBlack'","PitchBlack'","PitchBlack","0","292.70159","9","0.579","0","208.865","4","0.127","0","0.585387199","0.42951364","","","","","","","","","","","","","","","","","","","","","",""
"3604","b'What You Want'","What You Want'","What You Want","b'Todd Smith'","Todd Smith'","Todd Smith","Bayshore Long Island NY'","Bayshore Long Island NY","LL Cool J / Freeway'","LL Cool J / Freeway'","LL Cool J / Freeway'","LL Cool J / Freeway","0","264.48934","1","0.367","0.413739836","50.51","1","0","2006","0.749217793","0.544321915","rock and indie ","hip hop","","","","","","","","","","","","","","","","","","","",""
"3605","b'On The Money'","On The Money'","On The Money","b'Texas Rhythm Club'","Texas Rhythm Club'","Texas Rhythm Club","","","Joe McBride'","Joe McBride'","Joe McBride'","Joe McBride","0","258.35057","7","0.446","0","93.986","4","0.648","0","0.492440728","0.338946969","","","","","","","","","","","","","","","","","","","","","",""
"3606","b'Precis'","Precis'","Precis","b'Il·luminacions'","Il·luminacions'","Il·luminacions","California - LA'","California - LA","Casual'","Casual'","Casual'","Casual","0","213.55057","11","0.305","nan","156.007","4","0","2008","0.581793766","0.401997543","","","","","","","","","","","","","","","","","","","","","",""
"3607","b'Terve menoo jatkanretale'","Terve menoo jatkanretale'","Terve menoo jatkanretale","b'Kolmastoista kerta'","Kolmastoista kerta'","Kolmastoista kerta","Hameenlinna'","Hameenlinna","Irwin Goodman'","Irwin Goodman'","Irwin Goodman'","Irwin Goodman","0","200.9073","9","0.305","nan","108.199","4","0.675","1977","0.517480572","0.43280431","finnish","","","","","","","","","","","","","","","","","","","","",""
"3608","b'Trouble (Studio)'","Trouble (Studio)'","Trouble (Studio)","b'Trouble'","Trouble'","Trouble","Lafayette LA'","Lafayette LA","Buckwheat Zydeco'","Buckwheat Zydeco'","Buckwheat Zydeco'","Buckwheat Zydeco","0","233.50812","10","0","0.215080319","148.371","4","0","0","0.556083173","0.421448618","","","","","","","","","","","","","","","","","","","","","",""
"3609","b'Ask You for a Dance'","Ask You for a Dance'","Ask You for a Dance","b'Strictly Lovers Rock Vol. 3'","Strictly Lovers Rock Vol. 3'","Strictly Lovers Rock Vol. 3","","","Freddie McGregor'","Freddie McGregor'","Freddie McGregor'","Freddie McGregor","0","247.64036","0","0.85","0.313562114","114.013","5","0.408","0","0.596895543","0.365951048","","","","","","","","","","","","","","","","","","","","","",""
"3610","b'Soul makossa'","Soul makossa'","Soul makossa","b'Salsa Legende - Best of Fania All Stars'","Salsa Legende - Best of Fania All Stars'","Salsa Legende - Best of Fania All Stars","","","Fania All Stars'","Fania All Stars'","Fania All Stars'","Fania All Stars","0","342.30812","11","0","nan","92.09699999999999","7","0.835","0","0.535655941","0.366006985","","","","","","","","","","","","","","","","","","","","","",""
"3611","b'Bad People'","Bad People'","Bad People","b'Town Topic EP'","Town Topic EP'","Town Topic EP","","","Casiotone For The Painfully Alone'","Casiotone For The Painfully Alone'","Casiotone For The Painfully Alone'","Casiotone For The Painfully Alone","0","26.80118","1","0","nan","100.919","4","0.604","2008","0.6653221620000001","0.394217199","dance and electronica","","","","","","","","","","","","","","","","","","","","",""
"3612","b'Roter Rolls Royce'","Roter Rolls Royce'","Roter Rolls Royce","b'Ideal'","Ideal'","Ideal","Florida'","Florida","Ideal'","Ideal'","Ideal'","Ideal","0","191.73832","10","0.28","0.473346541","95.572","4","1","0","0.549012952","0.408485221","","","","","","","","","","","","","","","","","","","","","",""
"3613","b'Baby Here I Am'","Baby Here I Am'","Baby Here I Am","b'Midnight Fish'","Midnight Fish'","Midnight Fish","","","Midnight Fish'","Midnight Fish'","Midnight Fish'","Midnight Fish","0","300.82567","9","0.458","0","96.679","5","0.516","0","0.287697338","0.161360673","","","","","","","","","","","","","","","","","","","","","",""
"3614","b'When The Moon Comes Up Wild'","When The Moon Comes Up Wild'","When The Moon Comes Up Wild","b'Tijuana Hercules'","Tijuana Hercules'","Tijuana Hercules","Illinois'","Illinois","Tijuana Hercules'","Tijuana Hercules'","Tijuana Hercules'","Tijuana Hercules","0","178.49424","11","0","nan","119.38","3","1","0","0.449924541","0.299298677","","","","","","","","","","","","","","","","","","","","","",""
"3615","b'Adagio (Albinoni)'","Adagio (Albinoni)'","Adagio (Albinoni)","b'Babies Go To Sleep'","Babies Go To Sleep'","Babies Go To Sleep","","","Mariano Yanani'","Mariano Yanani'","Mariano Yanani'","Mariano Yanani","0","216.68526","7","0.721","0","89.93300000000001","3","0.555","0","0.379734512","0.3138661","","","","","","","","","","","","","","","","","","","","","",""
"3616","b'The Lone Prairie'","The Lone Prairie'","The Lone Prairie","b'Azure'","Azure'","Azure","Fort Worth TX'","Fort Worth TX","King Curtis'","King Curtis'","King Curtis'","King Curtis","0","127.03302","9","0.914","nan","136.089","1","0","0","0.575692299","0.366820788","","","","","","","","","","","","","","","","","","","","","",""
"3617","b'Music Is The Healing Force Of The Universe'","Music Is The Healing Force Of The Universe'","Music Is The Healing Force Of The Universe","b'Nuits De La Fondation Maeght 1970'","Nuits De La Fondation Maeght 1970'","Nuits De La Fondation Maeght 1970","Cleveland OH'","Cleveland OH","Albert Ayler'","Albert Ayler'","Albert Ayler'","Albert Ayler","0","632.34567","11","0.531","nan","71.642","5","0.864","1969","0.576645316","0.393945814","","","","","","","","","","","","","","","","","","","","","",""
"3618","b'Death Of A Nation'","Death Of A Nation'","Death Of A Nation","b'The Terror State'","The Terror State'","The Terror State","Pittsburgh PA'","Pittsburgh PA","Anti-Flag'","Anti-Flag'","Anti-Flag'","Anti-Flag","0","115.53914","1","0.629","0.630325327","189.134","4","0","2003","0.844039532","0.524378988","punk rock ","american ","usa ","rock ","hardcore punk ","americain ","punk ","pittsburgh ","glenshaw","","","","","","","","","","","","",""
"3619","b'Titanium (2009 Digital Remaster)'","Titanium (2009 Digital Remaster)'","Titanium (2009 Digital Remaster)","b'Tour De France (2009 Digital Remaster)'","Tour De France (2009 Digital Remaster)'","Tour De France (2009 Digital Remaster)","Dorf Germany'","Dorf Germany","Kraftwerk'","Kraftwerk'","Kraftwerk'","Kraftwerk","0","201.09016","1","0.888","0.594362489","126.132","4","0.968","0","0.74151813","0.52041211","german ","electronic ","synthpop ","krautrock ","classic pop and rock ","electro ","european ","dusseldorf ","techno ","rock ","industrial","","","","","","","","","","",""
"3620","b'Long Way 2 Go (Album Version)'","Long Way 2 Go (Album Version)'","Long Way 2 Go (Album Version)","b'Long Way 2 Go'","Long Way 2 Go'","Long Way 2 Go","New London CT'","New London CT","Cassie'","Cassie'","Cassie'","Cassie","0","222.74567","8","0.319","nan","52.711","4","0.774","2006","0.821121431","0.476803354","hip hop rnb and dance hall","","","","","","","","","","","","","","","","","","","","",""
"3621","b'King Bong'","King Bong'","King Bong","b'TRISKAIDEKAPHOBIA'","TRISKAIDEKAPHOBIA'","TRISKAIDEKAPHOBIA","","","Bone Loc'","Bone Loc'","Bone Loc'","Bone Loc","0","329.63873","5","0.643","0","141.041","4","1","0","0.386212393","0.331129674","","","","","","","","","","","","","","","","","","","","","",""
"3622","b'Riot In Cell Block #9'","Riot In Cell Block #9'","Riot In Cell Block #9","b'Live From Deep In The Heart Of Texas'","Live From Deep In The Heart Of Texas'","Live From Deep In The Heart Of Texas","","","Commander Cody And His Lost Planet Airmen'","Commander Cody And His Lost Planet Airmen'","Commander Cody And His Lost Planet Airmen'","Commander Cody And His Lost Planet Airmen","0","195.65669","4","0","0","170.916","1","0.619","1974","0.487445648","0.376899808","country","","","","","","","","","","","","","","","","","","","","",""
"3623","b'Bullmoose (LP Version)'","Bullmoose (LP Version)'","Bullmoose (LP Version)","b'Sing & Swing With Bobby Darin'","Sing & Swing With Bobby Darin'","Sing & Swing With Bobby Darin","New York NY [The Bronx'","New York NY [The Bronx","Bobby Darin'","Bobby Darin'","Bobby Darin'","Bobby Darin","0","147.93098","0","0.904","nan","181.368","4","0.35","2008","0.704411407","0.469425908","american ","rock ","big band ","pop ","rock and roll ","easy listening soundtracks and musicals ","folk","","","","","","","","","","","","","","",""
"3624","b'Emergences: III. Fragments d'epaves""","Emergences: III. Fragments d'epaves""","Emergences: III. Fragments d'epaves","b'Canadian Organ Music Showcase'","Canadian Organ Music Showcase'","Canadian Organ Music Showcase","England'","England","David Palmer'","David Palmer'","David Palmer'","David Palmer","0","486.94812","2","0","nan","50.751","3","0.922","0","0.39840082","0.353248097","","","","","","","","","","","","","","","","","","","","","",""
"3625","b'White Winter Hymnal'","White Winter Hymnal'","White Winter Hymnal","b'Going Home'","Going Home'","Going Home","Yorkshire England'","Yorkshire England","Catherine Howe & Vo Fletcher'","Catherine Howe & Vo Fletcher'","Catherine Howe & Vo Fletcher'","Catherine Howe & Vo Fletcher","0","242.62485","9","0.53","nan","139.913","4","0","0","0.421792253","0.319209721","","","","","","","","","","","","","","","","","","","","","",""
"3626","b'Start Even'","Start Even'","Start Even","b'Smoke! Smoke! Smoke!'","Smoke! Smoke! Smoke!'","Smoke! Smoke! Smoke!","Ramsey Fayette County IL'","Ramsey Fayette County IL","Tex Williams'","Tex Williams'","Tex Williams'","Tex Williams","0","191.242","9","0.634","0","110.385","1","0.986","0","0.425883322","0.313647771","","","","","","","","","","","","","","","","","","","","","",""
"3627","b'Send Me The Pillow You Dream On'","Send Me The Pillow You Dream On'","Send Me The Pillow You Dream On","bSuper Box Of Country - 35 Country Classics From the 50's_ 60's_ 70's And 80's""""","Super Box Of Country - 35 Country Classics From the 50's_ 60's_ 70's And 80's""""","Super Box Of Country - 35 Country Classics From the 50's_ 60's_ 70's And 80's","McLellan FL'","McLellan FL","Hank Locklin'","Hank Locklin'","Hank Locklin'","Hank Locklin","0","143.35955","0","0","0.690290538","122.798","4","0","1960","0.6357570219999999","0.379436972","","","","","","","","","","","","","","","","","","","","","",""
"3628","b'We Need Love'","We Need Love'","We Need Love","b'100% Dynamite'","100% Dynamite'","100% Dynamite","","","Johnny Osbourne'","Johnny Osbourne'","Johnny Osbourne'","Johnny Osbourne","0","216.65914","9","0","nan","105.261","4","0.841","1979","0.618765785","0.409134869","","","","","","","","","","","","","","","","","","","","","",""
"3629","b'How To Say ""Rip Them Off""_ Repeat After Me'","How To Say ""Rip Them Off""_ Repeat After Me'","How To Say ""Rip Them Off""_ Repeat After Me","b'Cactuses Come In Flocks'","Cactuses Come In Flocks'","Cactuses Come In Flocks","","","Melt Banana'","Melt Banana'","Melt Banana'","Melt Banana","0","29.33506","2","0.28","0","124.986","1","0","0","0.639249552","0.413885098","","","","","","","","","","","","","","","","","","","","","",""
"3630","b'I Hate Christmas'","I Hate Christmas'","I Hate Christmas","b'Santa Loves to Boogie'","Santa Loves to Boogie'","Santa Loves to Boogie","Paw Paw WV'","Paw Paw WV","Asleep At The Wheel'","Asleep At The Wheel'","Asleep At The Wheel'","Asleep At The Wheel","0","180.50567","9","0.5659999999999999","nan","78.087","1","0","2007","0.60425956","0.461023016","folk","","","","","","","","","","","","","","","","","","","","",""
"3631","b'No Good Without You'","No Good Without You'","No Good Without You","b'The Clarion Call'","The Clarion Call'","The Clarion Call","Yiewsley London England'","Yiewsley London England","The Birds'","The Birds'","The Birds'","The Birds","0","162.66404","5","0.658","nan","139.811","4","0","2001","0.517186242","0.322049814","","","","","","","","","","","","","","","","","","","","","",""
"3632","b'Fantasia In C Major BWV 570'","Fantasia In C Major BWV 570'","Fantasia In C Major BWV 570","b'Bach: Organ Works Vol.2'","Bach: Organ Works Vol.2'","Bach: Organ Works Vol.2","Geneva Switzerland'","Geneva Switzerland","Lionel Rogg'","Lionel Rogg'","Lionel Rogg'","Lionel Rogg","0","171.72853","0","0.755","nan","87.735","1","0","0","0.320855383","0.29127103","","","","","","","","","","","","","","","","","","","","","",""
